tecnico,item,qtd_tem,qtd_faltante
Giovanni,BATERIA 7A,1,0
Giovanni,BATERIA SENSOR 8000,0,0
Giovanni,BATERIA SENSOR 8000 JANELA,0,0
Giovanni,CABO BIPOLAR,0,0
Giovanni,CABO DE 6 VIAS,0,0
Giovanni,CÂMERA 2 MP ANALÓGICA,0,0
Giovanni,CONECTOR BNC,0,0
Giovanni,CONECTOR P4,0,0
Giovanni,MÓDULO GPRS INTELBRAS 8000,0,0
Giovanni,MÓDULO ETHERNET,0,0
Giovanni,MÓDULO GPRS 3G JFL,0,0
Giovanni,SENSOR 8000 JANELA,0,0
Giovanni,SENSOR 8000 INTERNO,0,0
Giovanni,SENSOR DSE 830,0,0
Giovanni,SENSOR IDX 1001,0,0
Giovanni,SENSOR SEMI ABERTO IRD 640 JFL,0,0
Giovanni,FONTE 10A,0,0
Giovanni,SIRENE,0,0
